gene,PacBio,TAGET
STIL,12.6100648303706,12.5397662719614
TERF2IP,65.6089895631435,57.6153314025849
TMTC4,7.41273632884984,6.09672127700035
CLK3,9.00549207926433,11.5642196188667
CMTR2,26.3959383375365,25.6721196858975
RAB38,4.13234678926191,7.84223140655762
TET2,15.8232090746613,13.1787215671264
TEX10,53.2390737517178,50.505172225837
LMF2,22.4726795063243,23.1237534900677
TLR9,3.04924732596241,2.4219987774335
SPHK1,2.71183306608579,2.26429001598136
CIPC,31.2045858970311,24.551562303436
ETFA,10.3406738916468,8.44483392315226
SRGAP2C,9.83601840316905,7.40311692981105
IVNS1ABP,159.105228029835,145.075768756175
AP3M1,76.2765488153642,65.1563852313269
HNRNPH3,42.5267740285248,37.1921315796888
SARAF,65.2231773294998,57.7745510963946
CD244,2.93634698752547,2.4689222525365
P4HTM,2.86361907071382,2.66267176357705
ZBTB41,10.1796728461143,7.12257392401233
ATE1,38.8228464766232,27.1820831551616
BCCIP,13.4941107328811,11.2180845957342
GGA2,98.7694079174703,94.3338222407543
TM9SF4,54.2782796966763,46.9878849809409
KCNAB1,2.76563611549268,2.52577215780808
PGGT1B,5.6750122365789,3.93671333063128
KLF11,4.1101718866929,2.38711930874211
FERMT2,10.5423823600426,9.43517701180541
PLAU,2.83679442886697,2.61755631236751
DEDD2,4.43510291356509,3.23062459996078
TBRG4,34.9372417840276,33.5012665364133
TRAM1,214.967755352539,193.577665468878
HLA-F,2.92853643765155,7.01024572339371
IMPDH1,10.681944175384,23.0756547182714
ABI3,2.86928538290833,2.42349103185287
SRSF11,32.0699153322274,32.2244925934926
MYEOV,5.52207402878362,6.54279991424546
KIF20B,14.6401643526801,9.78071663270647
SGSH,10.3043150329835,13.5664164813046
ATP9A,5.07038070084633,2.11173885443325
VEZT,37.5866119851459,35.1436266467407
RGL1,7.78745397046293,4.68838624904829
PPP3CC,16.3410549685093,17.1825407299904
CTDSPL2,34.6476233492032,28.1033865593173
ZNF441,12.9950240431395,8.30673194228728
PHKB,40.1771507199799,33.5160740522312
CDC42,67.1826318499514,58.750243186318
PRRC2B,21.1415431329468,13.7415773222336
ITSN1,5.92036551371142,4.29930148378303
DDX41,26.7424405313319,25.4230576413178
CHD1,23.5880749167943,14.8929603162481
FEZ1,9.16782474829538,8.65578789512879
DCP2,11.9025316406238,6.56766613277243
MLF1,5.98116485501347,4.74540318166651
ZNF706,15.6335179680482,14.6870196902376
DNAJA2,85.2528783930263,74.3739128717981
TEX2,25.2199403335937,19.5824631741974
POMT2,7.29862467277305,4.78106283844969
WASHC5,51.3902935961567,46.9887625240724
ZNF141,6.355255340603,5.56576008048535
IPO5,40.0448270655268,47.394625377576
IGF2BP3,84.0226831824142,71.598645159836
M6PR,117.017072463328,111.231707636631
LPAR5,2.75455946606885,2.1495171920978
KPNA1,72.6648830992245,60.6833761340854
SCAMP1,38.4363800656589,32.5356982470388
ZNF502,2.56374671055381,2.44056713101065
HACD3,46.6333552745328,40.7238946918209
SYVN1,33.9154211964132,33.5471039500185
PUS7,34.8069675173013,29.2909021922151
CPXM1,2.71822777823552,2.10046992362725
ARGLU1,139.40840769079,121.486343484783
KCNK1,2.76022577826335,1.97088255696811
C1QTNF6,2.68956863528203,2.1098198645946
PCDHB15,2.68956863528203,2.32576283531319
CSK,7.97022510347206,6.86317938493817
ADAM22,5.55589061383688,3.66991506754869
ABCG1,2.88087212542922,2.53945577702054
FAM102A,8.99245728994004,5.96356624169684
GPR180,41.92044146729,41.3272372693189
GOLGA2,10.7636241660716,6.49010951017446
NIPBL,23.0662345234411,15.0438032645685
SLC46A3,4.2125879983726,3.88373424489972
HEXIM1,13.5596096918679,10.4161072531542
MINDY3,6.79075893939511,6.16140399438474
GBP4,5.49273428415669,5.34398861322604
LRP11,2.50015759469539,1.88788723255427
SEL1L,73.3325710408016,59.4546310348711
KCNN4,9.66743125409402,8.00549029916718
PCK2,12.991561033851,14.8387280984849
EXTL3,10.6374944062504,8.44144700101024
FBLN1,2.57706950324249,1.95523336730495
ZSCAN26,12.638248572132,10.1572294360745
RFK,17.5028074746737,14.5311009231794
PPP1R18,20.5930089027835,15.1971702934252
SART3,34.2581573865726,27.4194384789112
FLOT2,13.0446477025992,12.2474322774612
ALDH3A2,19.3645481891016,13.104803769785
GDNF,2.45967733797718,3.13992487559629
GADD45B,2.71438704444355,3.5270965135885
AGRN,13.8679331283693,8.43427803698279
WAPL,49.3938833732485,42.2093978720692
TRIM44,60.5219162510113,48.7676362069423
PHACTR4,8.46800460591338,5.85658233545862
SLC26A2,9.79362161485877,8.51715443002387
BNC2,4.00501230449201,2.37921065758172
TMEM192,16.0455293053258,13.717973592918
INTS10,31.3506136722089,27.1654450433162
MT-CO3,18.5941143410401,14.6989920286388
AIM2,2.64165912763191,3.05441837239325
PHYKPL,5.70901851581493,6.44809703984109
HLA-C,63.402913556043,58.8259985487262
TIAM2,6.62949503362274,5.86585919717946
TAGLN2,7.94631272578048,7.91212343853789
PPIF,12.9356835404025,11.0473343785717
CAPZA2,165.43032976896,146.460505651995
NEK3,2.74498787893739,1.97300635033565
